"Rents, annual movement (%)"
"Rents, annual movement (%)","Sydney (%)","Melbourne (%)","Brisbane (%)","Australia (%)"
"Jun-00","3.9","3.3","1.2","3.1"
"Sep-00","4.2","2.8","1.6","3.4"
"Dec-00","4.0","2.8","1.9","3.1"
"Mar-01","4.3","2.5","1.9","3.2"
"Jun-01","4.2","2.6","2.2","3.2"
"Sep-01","4.0","2.7","1.9","3.0"
"Dec-01","3.8","3.0","1.9","3.1"
"Mar-02","2.7","3.0","2.2","2.8"
"Jun-02","2.5","2.7","2.3","2.6"
"Sep-02","1.9","2.4","3.0","2.4"
"Dec-02","1.5","2.1","3.0","2.1"
"Mar-03","1.2","1.7","3.5","1.8"
"Jun-03","0.4","1.7","3.6","1.6"
"Sep-03","1.2","1.4","3.4","1.8"
"Dec-03","1.5","1.6","4.3","2.2"
"Mar-04","2.0","1.6","4.3","2.5"
"Jun-04","2.2","1.6","4.6","2.6"
"Sep-04","1.4","2.0","4.7","2.6"
"Dec-04","1.4","1.6","4.2","2.3"
"Mar-05","1.1","1.6","4.3","2.2"
"Jun-05","1.4","1.5","4.2","2.1"
"Sep-05","1.7","1.1","4.9","2.1"
"Dec-05","1.8","1.1","5.5","2.4"
"Mar-06","2.3","1.2","5.9","2.8"
"Jun-06","2.0","1.4","6.2","2.9"
"Sep-06","2.4","2.2","5.7","3.5"
"Dec-06","2.8","2.8","5.3","3.7"
"Mar-07","3.3","3.5","5.8","4.4"
"Jun-07","4.3","4.2","6.5","5.2"
"Sep-07","4.9","4.6","8.0","5.8"
"Dec-07","5.4","5.4","8.5","6.5"
"Mar-08","6.0","5.7","9.2","7.0"
"Jun-08","7.1","6.1","9.3","7.8"
"Sep-08","7.4","6.4","9.9","8.1"
"Dec-08","8.1","6.5","10.1","8.4"
"Mar-09","7.9","6.6","9.2","8.1"
"Jun-09","7.0","6.1","8.1","7.2"
"Sep-09","6.8","5.3","6.0","6.2"
"Dec-09","5.7","4.9","4.9","5.2"
"Mar-10","5.1","4.4","4.0","4.7"
"Jun-10","4.8","4.1","3.8","4.3"
"Sep-10","4.8","4.4","3.3","4.2"
"Dec-10","5.1","3.8","3.0","4.3"
"Mar-11","5.7","4.2","3.0","4.5"
"Jun-11","5.9","3.9","2.6","4.5"
"Sep-11","6.1","4.1","2.8","4.7"
"Dec-11","6.2","4.0","2.9","4.7"
"Mar-12","5.7","3.4","2.9","4.5"
"Jun-12","5.5","3.6","2.8","4.4"
"Sep-12","4.8","2.6","2.7","4.0"
"Dec-12","4.4","2.5","2.7","3.7"
"Mar-13","4.0","2.3","2.5","3.5"
"Jun-13","3.9","1.8","2.3","3.4"
"Sep-13","3.6","2.1","2.2","3.2"
"Dec-13","3.4","2.0","2.1","3.0"
"Mar-14","3.3","1.9","2.2","2.9"
"Jun-14","3.0","1.7","2.2","2.4"
"Sep-14","3.2","1.9","2.1","2.5"
"Dec-14","3.2","2.4","2.0","2.4"
"Mar-15","2.9","2.5","1.6","2.1"
"Jun-15","2.5","2.6","1.4","1.9"
"Sep-15","2.5","2.2","1.1","1.5"
"Dec-15","2.3","1.7","1.0","1.2"
"Mar-16","2.3","1.4","0.7","0.9"
"Jun-16","2.2","1.4","0.5","0.7"
"Sep-16","2.5","1.4","0.6","0.7"
"Dec-16","2.5","1.6","0.2","0.6"
"Mar-17","2.5","1.7","0.3","0.6"
"Jun-17","2.5","1.7","0","0.6"
"Sep-17","2.3","1.8","-0.4","0.5"
"Dec-17","2.4","1.8","-0.4","0.7"
"Mar-18","2.4","2.2","-0.5","0.8"
"Jun-18","2.2","1.9","-0.5","0.6"
"Sep-18","1.9","1.8","-0.1","0.6"
"Dec-18","1.4","1.8","0","0.5"
"Mar-19","0.7","1.6","0.2","0.4"
"Jun-19","0.3","1.7","0.3","0.4"
"Sep-19","-0.2","1.7","0.2","0.4"
"Dec-19","-0.8","1.7","0.3","0.2"
"Mar-20","-1.0","1.5","0.3","0.2"
"Jun-20","-3.0","0.1","-0.4","-1.2"
"Sep-20","-3.1","-0.7","-0.6","-1.4"
"Dec-20","-2.8","-1.0","-0.3","-1.3"
"Mar-21","-2.9","-1.4","0.2","-1.4"
"Jun-21","-1.5","-0.8","1.7","0"
"Sep-21","-1.6","-0.7","2.8","0.4"
"Dec-21","-1.9","-1.1","3.0","0.4"
"Mar-22","-1.2","-0.9","3.7","1.0"
"Jun-22","-0.3","-0.2","4.0","1.6"
"Sep-22","1.6","1.2","4.8","2.8"
"Dec-22","3.3","2.2","6.0","4.0"
"Mar-23","4.8","3.1","7.0","4.9"
"Jun-23","7.3","5.0","8.9","6.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia June Quarter 2023"
